RoutineNo,Week,Round,DanceCoupleID,TypeOfDance,Song,Score,Result
109,11,1,14,Samba,Blame It on the Boogie,34,Safe
110,12,1,8,Quickstep,Don't Get Me Wrong,40,Safe
111,12,1,8,Showdance,Great Balls of Fire,37,Safe
112,12,1,14,Tango,I Will Survive,38,Eliminated
113,12,1,14,Showdance,Dancin' Fool,40,Eliminated
114,12,1,11,Jive,I'm A Believer,39,Safe
115,12,1,11,Showdance,One Night Only,36,Safe
116,12,2,8,American Smooth,Can't Help Falling in Love,39,Final
117,12,2,8,Argentine Tango,Asi se Baila el Tango,40,Final
118,12,2,11,Rumba,Because of You,39,Final
119,12,2,11,Quickstep,Sing Sing Sing,39,Final
